geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Seattle,driving,NA,Washington,United States,2020-01-13,100
city,Seattle,driving,NA,Washington,United States,2020-01-14,91.43
city,Seattle,driving,NA,Washington,United States,2020-01-15,105.28
city,Seattle,driving,NA,Washington,United States,2020-01-16,128.93
city,Seattle,driving,NA,Washington,United States,2020-01-17,150.42
city,Seattle,driving,NA,Washington,United States,2020-01-18,141.85
city,Seattle,driving,NA,Washington,United States,2020-01-19,108.22
city,Seattle,driving,NA,Washington,United States,2020-01-20,123.71
city,Seattle,driving,NA,Washington,United States,2020-01-21,145.34
city,Seattle,driving,NA,Washington,United States,2020-01-22,149.76
city,Seattle,driving,NA,Washington,United States,2020-01-23,153.1
city,Seattle,driving,NA,Washington,United States,2020-01-24,159.6
city,Seattle,driving,NA,Washington,United States,2020-01-25,146.06
city,Seattle,driving,NA,Washington,United States,2020-01-26,108.72
city,Seattle,driving,NA,Washington,United States,2020-01-27,132.12
city,Seattle,driving,NA,Washington,United States,2020-01-28,138.89
city,Seattle,driving,NA,Washington,United States,2020-01-29,138.23
city,Seattle,driving,NA,Washington,United States,2020-01-30,143.06
city,Seattle,driving,NA,Washington,United States,2020-01-31,162.97
city,Seattle,driving,NA,Washington,United States,2020-02-01,142.48
city,Seattle,driving,NA,Washington,United States,2020-02-02,100.12
city,Seattle,driving,NA,Washington,United States,2020-02-03,128.32
city,Seattle,driving,NA,Washington,United States,2020-02-04,131.85
city,Seattle,driving,NA,Washington,United States,2020-02-05,148.3
city,Seattle,driving,NA,Washington,United States,2020-02-06,164
city,Seattle,driving,NA,Washington,United States,2020-02-07,168.64
city,Seattle,driving,NA,Washington,United States,2020-02-08,152.01
city,Seattle,driving,NA,Washington,United States,2020-02-09,117.18
city,Seattle,driving,NA,Washington,United States,2020-02-10,133.89
city,Seattle,driving,NA,Washington,United States,2020-02-11,138.72
city,Seattle,driving,NA,Washington,United States,2020-02-12,140.45
city,Seattle,driving,NA,Washington,United States,2020-02-13,149.84
city,Seattle,driving,NA,Washington,United States,2020-02-14,173.7
city,Seattle,driving,NA,Washington,United States,2020-02-15,145.92
city,Seattle,driving,NA,Washington,United States,2020-02-16,116.91
city,Seattle,driving,NA,Washington,United States,2020-02-17,134.13
city,Seattle,driving,NA,Washington,United States,2020-02-18,138.51
city,Seattle,driving,NA,Washington,United States,2020-02-19,140.62
city,Seattle,driving,NA,Washington,United States,2020-02-20,145.04
city,Seattle,driving,NA,Washington,United States,2020-02-21,157.15
city,Seattle,driving,NA,Washington,United States,2020-02-22,146.45
city,Seattle,driving,NA,Washington,United States,2020-02-23,108.6
city,Seattle,driving,NA,Washington,United States,2020-02-24,126.8
city,Seattle,driving,NA,Washington,United States,2020-02-25,136.55
city,Seattle,driving,NA,Washington,United States,2020-02-26,142.72
city,Seattle,driving,NA,Washington,United States,2020-02-27,154.23
city,Seattle,driving,NA,Washington,United States,2020-02-28,166.7
city,Seattle,driving,NA,Washington,United States,2020-02-29,154.1
city,Seattle,driving,NA,Washington,United States,2020-03-01,113.82
city,Seattle,driving,NA,Washington,United States,2020-03-02,124.53
city,Seattle,driving,NA,Washington,United States,2020-03-03,126.05
city,Seattle,driving,NA,Washington,United States,2020-03-04,128.11
city,Seattle,driving,NA,Washington,United States,2020-03-05,124.27
city,Seattle,driving,NA,Washington,United States,2020-03-06,133.98
city,Seattle,driving,NA,Washington,United States,2020-03-07,124.09
city,Seattle,driving,NA,Washington,United States,2020-03-08,94.17
city,Seattle,driving,NA,Washington,United States,2020-03-09,111.49
city,Seattle,driving,NA,Washington,United States,2020-03-10,111.23
city,Seattle,driving,NA,Washington,United States,2020-03-11,107.96
city,Seattle,driving,NA,Washington,United States,2020-03-12,103.41
city,Seattle,driving,NA,Washington,United States,2020-03-13,105.68
city,Seattle,driving,NA,Washington,United States,2020-03-14,92.01
city,Seattle,driving,NA,Washington,United States,2020-03-15,73.69
city,Seattle,driving,NA,Washington,United States,2020-03-16,83.85
city,Seattle,driving,NA,Washington,United States,2020-03-17,77.18
city,Seattle,driving,NA,Washington,United States,2020-03-18,76.27
city,Seattle,driving,NA,Washington,United States,2020-03-19,76.65
city,Seattle,driving,NA,Washington,United States,2020-03-20,82.7
city,Seattle,driving,NA,Washington,United States,2020-03-21,67.93
city,Seattle,driving,NA,Washington,United States,2020-03-22,51.79
city,Seattle,driving,NA,Washington,United States,2020-03-23,61.44
city,Seattle,driving,NA,Washington,United States,2020-03-24,59.44
city,Seattle,driving,NA,Washington,United States,2020-03-25,56.51
city,Seattle,driving,NA,Washington,United States,2020-03-26,50.48
